Label (Grouping),Texas!!Estimate,Texas!!Estimate Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,"San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Estimate Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
EMPLOYMENT STATUS,,,,,,,,
    Population 16 years and over,"19,123,208","±10,217","19,123,208",(X),"1,019,273","±5,093","1,019,273",(X)
    In labor force,"12,465,332","±33,691",65.20%,±0.2,"660,424","±7,817",64.80%,±0.7
        Civilian labor force,"12,363,612","±33,592",64.70%,±0.2,"648,636","±8,332",63.60%,±0.7
            Employed,"11,271,851","±36,125",58.90%,±0.2,"589,877","±8,640",57.90%,±0.8
            Unemployed,"1,091,761","±21,621",5.70%,±0.1,"58,759","±4,905",5.80%,±0.5
        Armed Forces,"101,720","±4,607",0.50%,±0.1,"11,788","±2,310",1.20%,±0.2
    Not in labor force,"6,657,876","±33,406",34.80%,±0.2,"358,849","±7,084",35.20%,±0.7
    Civilian labor force,"12,363,612","±33,592","12,363,612",(X),"648,636","±8,332","648,636",(X)
    Percent Unemployed,(X),(X),8.80%,±0.2,(X),(X),9.10%,±0.7
    Females 16 years and over,"9,727,271","±8,908","9,727,271",(X),"531,252","±3,542","531,252",(X)
    In labor force,"5,706,071","±27,890",58.70%,±0.3,"311,561","±5,907",58.60%,±1.1
        Civilian labor force,"5,687,636","±27,350",58.50%,±0.3,"307,811","±5,639",57.90%,±1.0
            Employed,"5,195,474","±29,825",53.40%,±0.3,"282,232","±5,831",53.10%,±1.1
    Own children under 6 years,"2,230,481","±13,587","2,230,481",(X),"112,722","±3,685","112,722",(X)
    All parents in family in labor force,"1,325,990","±19,127",59.40%,±0.8,"66,264","±4,353",58.80%,±4.1
    Own children 6 to 17 years,"4,330,076","±17,644","4,330,076",(X),"225,859","±4,912","225,859",(X)
    All parents in family in labor force,"2,950,902","±25,980",68.10%,±0.5,"155,376","±6,837",68.80%,±2.8
COMMUTING TO WORK,,,,,,,,
    Workers 16 years and over,"11,145,480","±37,226","11,145,480",(X),"591,725","±8,285","591,725",(X)
"    Car, truck, or van -- drove alone","8,895,756","±34,649",79.80%,±0.2,"468,960","±8,976",79.30%,±1.1
"    Car, truck, or van -- carpooled","1,236,597","±21,345",11.10%,±0.2,"66,236","±6,088",11.20%,±1.0
    Public transportation (excluding taxicab),"168,791","±7,495",1.50%,±0.1,"17,887","±2,366",3.00%,±0.4
    Walked,"185,610","±9,232",1.70%,±0.1,"13,686","±2,188",2.30%,±0.4
    Other means,"205,468","±10,503",1.80%,±0.1,"9,269","±2,030",1.60%,±0.3
    Worked at home,"453,258","±12,790",4.10%,±0.1,"15,687","±2,016",2.70%,±0.3
    Mean travel time to work (minutes),24.6,±0.1,(X),(X),22.6,±0.4,(X),(X)
OCCUPATION,,,,,,,,
    Civilian employed population 16 years and over,"11,271,851","±36,125","11,271,851",(X),"589,877","±8,640","589,877",(X)
"    Management, business, science, and arts occupations","3,862,509","±31,039",34.30%,±0.3,"192,717","±7,361",32.70%,±1.1
    Service occupations,"2,005,054","±27,586",17.80%,±0.2,"120,496","±5,975",20.40%,±1.0
    Sales and office occupations,"2,833,081","±29,326",25.10%,±0.2,"158,586","±7,302",26.90%,±1.1
"    Natural resources, construction, and maintenance occupations","1,257,302","±18,502",11.20%,±0.2,"60,360","±4,279",10.20%,±0.7
"    Production, transportation, and material moving occupations","1,313,905","±20,366",11.70%,±0.2,"57,718","±4,371",9.80%,±0.8
INDUSTRY,,,,,,,,
    Civilian employed population 16 years and over,"11,271,851","±36,125","11,271,851",(X),"589,877","±8,640","589,877",(X)
"    Agriculture, forestry, fishing and hunting, and mining","327,887","±11,553",2.90%,±0.1,"3,003","±1,139",0.50%,±0.2
    Construction,"898,282","±17,096",8.00%,±0.2,"45,978","±4,486",7.80%,±0.8
    Manufacturing,"1,052,942","±20,204",9.30%,±0.2,"33,231","±3,310",5.60%,±0.6
    Wholesale trade,"329,452","±10,662",2.90%,±0.1,"12,862","±2,001",2.20%,±0.3
    Retail trade,"1,301,633","±22,615",11.50%,±0.2,"68,130","±5,562",11.50%,±0.9
"    Transportation and warehousing, and utilities","615,306","±14,723",5.50%,±0.1,"26,395","±2,757",4.50%,±0.5
    Information,"212,821","±8,507",1.90%,±0.1,"13,013","±2,211",2.20%,±0.4
"    Finance and insurance, and real estate and rental and leasing","747,962","±14,845",6.60%,±0.1,"54,572","±4,113",9.30%,±0.7
