"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","",""
"    Population 16 years and over","22,117,923","±11,043","22,117,923","(X)","1,193,955","±4,567","1,193,955","(X)"
"        In labor force","14,266,767","±36,411","64.5%","±0.2","767,402","±9,704","64.3%","±0.8"
"            Civilian labor force","14,185,653","±36,802","64.1%","±0.2","761,609","±9,752","63.8%","±0.8"
"                Employed","13,491,168","±36,714","61.0%","±0.2","716,405","±10,012","60.0%","±0.8"
"                Unemployed","694,485","±16,706","3.1%","±0.1","45,204","±5,236","3.8%","±0.4"
"            Armed Forces","81,114","±4,268","0.4%","±0.1","5,793","±1,068","0.5%","±0.1"
"        Not in labor force","7,851,156","±35,934","35.5%","±0.2","426,553","±9,785","35.7%","±0.8"
"    Civilian labor force","14,185,653","±36,802","14,185,653","(X)","761,609","±9,752","761,609","(X)"
"        Unemployment Rate","(X)","(X)","4.9%","±0.1","(X)","(X)","5.9%","±0.7"
"    Females 16 years and over","11,227,881","±7,469","11,227,881","(X)","606,300","±4,470","606,300","(X)"
"        In labor force","6,501,460","±27,238","57.9%","±0.2","354,980","±6,816","58.5%","±1.1"
"            Civilian labor force","6,486,431","±27,305","57.8%","±0.2","353,635","±6,875","58.3%","±1.1"
"                Employed","6,163,329","±29,239","54.9%","±0.3","332,742","±6,961","54.9%","±1.1"
"    Own children of the householder under 6 years","2,308,836","±14,795","2,308,836","(X)","123,086","±4,979","123,086","(X)"
"        All parents in family in labor force","1,387,154","±22,591","60.1%","±0.9","79,303","±5,519","64.4%","±4.0"
"    Own children of the householder 6 to 17 years","4,716,191","±17,829","4,716,191","(X)","239,259","±5,535","239,259","(X)"
"        All parents in family in labor force","3,166,131","±33,767","67.1%","±0.7","159,069","±7,906","66.5%","±2.5"
"COMMUTING TO WORK","","","","","","","",""
"    Workers 16 years and over","13,337,175","±36,929","13,337,175","(X)","709,912","±10,007","709,912","(X)"
"        Car, truck, or van -- drove alone","10,764,273","±43,920","80.7%","±0.2","553,794","±9,787","78.0%","±1.1"
"        Car, truck, or van -- carpooled","1,301,251","±24,089","9.8%","±0.2","85,894","±6,372","12.1%","±0.8"
"        Public transportation (excluding taxicab)","176,785","±10,335","1.3%","±0.1","17,666","±3,144","2.5%","±0.4"
"        Walked","195,470","±8,255","1.5%","±0.1","15,608","±2,937","2.2%","±0.4"
"        Other means","206,238","±9,216","1.5%","±0.1","12,275","±2,661","1.7%","±0.4"
"        Worked at home","693,158","±15,621","5.2%","±0.1","24,675","±3,313","3.5%","±0.5"
"        Mean travel time to work (minutes)","26.7","±0.1","(X)","(X)","24.6","±0.4","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","13,491,168","±36,714","13,491,168","(X)","716,405","±10,012","716,405","(X)"
"        Management, business, science, and arts occupations","4,931,037","±39,958","36.6%","±0.3","238,414","±8,813","33.3%","±1.2"
"        Service occupations","2,351,408","±31,824","17.4%","±0.2","151,498","±8,213","21.1%","±1.1"
"        Sales and office occupations","2,947,413","±32,007","21.8%","±0.2","169,807","±7,768","23.7%","±1.0"
"        Natural resources, construction, and maintenance occupations","1,487,805","±26,491","11.0%","±0.2","73,814","±6,006","10.3%","±0.8"
"        Production, transportation, and material moving occupations","1,773,505","±26,436","13.1%","±0.2","82,872","±5,383","11.6%","±0.7"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","13,491,168","±36,714","13,491,168","(X)","716,405","±10,012","716,405","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","394,429","±11,680","2.9%","±0.1","7,302","±1,995","1.0%","±0.3"
"        Construction","1,188,835","±24,709","8.8%","±0.2","62,291","±5,129","8.7%","±0.7"
"        Manufacturing","1,126,931","±21,730","8.4%","±0.2","40,174","±4,098","5.6%","±0.6"
"        Wholesale trade","359,631","±11,194","2.7%","±0.1","13,793","±2,159","1.9%","±0.3"
"        Retail trade","1,530,829","±26,258","11.3%","±0.2","88,240","±6,676","12.3%","±0.9"
"        Transportation and warehousing, and utilities","821,118","±18,277","6.1%","±0.1","34,472","±3,912","4.8%","±0.5"
"        Information","217,728","±8,396","1.6%","±0.1","10,293","±2,047","1.4%","±0.3"
