City,Beds,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023
"ALBUQUERQUE, NM",1,$660,$659,$670,$675,$675,$690,$677,$675,$695,$680,$680,$685,$690,$695,$699,$700,$720,$740,$714,$705,$737,$772,$782,$747,$750,$725,$699,$715,$715,$750,$685,$695,$695,$685,$695,$695,$700,$700,$695,$695,$695,$725,$700,$708,$725,$778,$821,$805,$855,$855,$866,$880,$964,"$1,000","$1,110","$1,135","$1,199","$1,185","$1,149","$1,130","$1,109","$1,075","$1,079","$1,177","$1,130","$1,176","$1,185","$1,215","$1,204","$1,164","$1,145","$1,175","$1,184","$1,165","$1,151"
"ALBUQUERQUE, NM",2,$819,$800,$817,$825,$834,$875,$865,$850,$875,$855,$860,$864,$860,$850,$850,$863,$880,$904,$900,$850,$909,$905,$940,$916,$910,$890,$855,$895,$899,$960,"$1,100","$1,095","$1,050","$1,000","$1,075","$1,025","$1,051","$1,100","$1,031","$1,150",$899,$930,$900,$926,$923,$975,"$1,064","$1,037","$1,070","$1,050","$1,065","$1,065","$1,190","$1,250","$1,385","$1,350","$1,425","$1,475","$1,419","$1,375","$1,356","$1,331","$1,318","$1,425","$1,449","$1,478","$1,475","$1,489","$1,501","$1,500","$1,480","$1,450","$1,469","$1,450","$1,428"
"ALBUQUERQUE, NM",3,"$1,175","$1,195","$1,150","$1,200","$1,200","$1,226","$1,225","$1,225","$1,250","$1,231","$1,225","$1,225","$1,225","$1,225","$1,200","$1,204","$1,225","$1,250","$1,295","$1,300","$1,295","$1,295","$1,260","$1,250","$1,250","$1,275","$1,250","$1,250","$1,259","$1,275","$1,350","$1,350","$1,350","$1,325","$1,300","$1,300","$1,322","$1,398","$1,395","$1,385","$1,300","$1,295","$1,350","$1,350","$1,310","$1,395","$1,404","$1,450","$1,500","$1,500","$1,550","$1,529","$1,540","$1,650","$1,700","$1,692","$1,773","$1,750","$1,725","$1,695","$1,700","$1,700","$1,720","$1,795","$1,766","$1,800","$1,872","$1,850","$1,850","$1,900","$1,875","$1,800","$1,857","$1,850","$1,942"
"ANAHEIM, CA",1,"$1,480","$1,500","$1,510","$1,516","$1,505","$1,525","$1,524","$1,535","$1,545","$1,540","$1,535","$1,525","$1,535","$1,525","$1,527","$1,550","$1,595","$1,650","$1,650","$1,695","$2,070","$2,070","$1,675","$1,693","$1,690","$1,697","$1,851","$1,781","$2,060","$2,133","$1,795","$1,625","$1,625","$1,596","$1,600","$1,600","$1,620","$1,625","$1,647","$1,620","$1,598","$1,595","$1,595","$1,633","$1,598","$1,660","$1,815","$1,789","$1,800","$1,779","$1,773","$1,750","$1,939","$1,912","$2,050","$2,099","$2,156","$2,290","$2,320","$2,426","$2,318","$2,306","$2,220","$2,485","$2,454","$2,300","$2,312","$2,305","$2,340","$2,270","$2,225","$2,260","$2,529","$2,279","$2,229"
"ANAHEIM, CA",2,"$1,840","$1,813","$1,830","$1,835","$1,850","$1,865","$1,870","$1,855","$1,880","$1,880","$1,895","$1,895","$1,900","$1,915","$1,925","$1,915","$1,940","$2,007","$1,995","$2,067","$2,480","$2,418","$2,053","$2,092","$2,023","$2,045","$2,125","$2,070","$2,220","$2,350","$2,230","$2,050","$2,070","$2,031","$2,075","$2,098","$2,143","$2,200","$2,100","$2,100","$1,995","$2,000","$1,975","$2,031","$2,050","$2,100","$2,200","$2,235","$2,250","$2,218","$2,195","$2,176","$2,382","$2,355","$2,497","$2,450","$2,500","$2,555","$2,623","$2,604","$2,625","$2,600","$2,450","$2,895","$2,895","$2,775","$2,704","$2,731","$2,769","$2,820","$2,743","$2,755","$2,882","$2,845","$2,700"
"ANAHEIM, CA",3,"$2,363","$2,295","$2,300","$2,500","$2,400","$2,450","$2,500","$2,598","$2,600","$2,600","$2,600","$2,600","$2,550","$2,495","$2,674","$2,745","$2,550","$2,598","$2,600","$2,750","$2,448","$2,623","$2,700","$2,700","$2,600","$2,800","$2,750","$2,700","$2,663","$2,773","$2,850","$2,795","$2,750","$2,750","$2,750","$2,780","$2,780","$2,773","$2,838","$2,795","$2,798","$2,795","$2,795","$2,750","$2,750","$2,700","$2,800","$2,785","$2,800","$2,800","$2,800","$2,795","$2,800","$2,800","$2,900","$2,879","$3,000","$2,950","$3,000","$2,950","$2,970","$3,000","$2,950","$2,998","$3,007","$3,203","$3,203","$3,000","$3,350","$3,600","$3,600","$3,600","$3,600","$3,500","$3,400"
"ANCHORAGE, AK",1,$910,$900,$900,$895,$890,$895,$875,$875,$900,$895,$900,$900,$900,$900,$910,$908,$910,$895,$895,$925,$925,$938,$925,$950,$900,$895,$895,$900,$910,$895,$995,$975,$950,$975,$951,$950,$975,$995,$998,"$1,000",$900,$925,$950,$953,$925,$950,$983,$975,$960,$973,$978,$985,$975,"$1,000","$1,000","$1,055","$1,105","$1,099","$1,089","$1,110","$1,095","$1,100","$1,069","$1,140","$1,145","$1,165","$1,190","$1,196","$1,200","$1,240","$1,198","$1,200","$1,188","$1,195","$1,200"
"ANCHORAGE, AK",2,"$1,150","$1,110","$1,100","$1,133","$1,090","$1,085","$1,100","$1,100","$1,100","$1,110","$1,123","$1,145","$1,175","$1,165","$1,100","$1,138","$1,130","$1,075","$1,090","$1,220","$1,150","$1,175","$1,190","$1,140","$1,100","$1,125","$1,170","$1,163","$1,150","$1,150","$1,200","$1,200","$1,233","$1,250","$1,245","$1,200","$1,175","$1,250","$1,300","$1,350","$1,200","$1,200","$1,175","$1,151","$1,200","$1,233","$1,200","$1,205","$1,200","$1,200","$1,165","$1,198","$1,200","$1,200","$1,200","$1,250","$1,350","$1,350","$1,325","$1,300","$1,300","$1,300","$1,300","$1,395","$1,400","$1,450","$1,453","$1,495","$1,500","$1,450","$1,425","$1,450","$1,450","$1,450","$1,405"
"ANCHORAGE, AK",3,"$1,650","$1,575","$1,550","$1,600","$1,545","$1,550","$1,630","$1,675","$1,685","$1,675","$1,650","$1,675","$1,675","$1,650","$1,582","$1,595","$1,584","$1,425","$1,498","$1,763","$1,699","$1,650","$1,650","$1,650","$1,578","$1,673","$1,650","$1,650","$1,650","$1,650","$1,650","$1,650","$1,725","$1,700","$1,799","$1,700","$1,700","$1,750","$1,750","$1,800","$1,700","$1,700","$1,700","$1,625","$1,675","$1,700","$1,750","$1,725","$1,750","$1,700","$1,650","$1,650","$1,700","$1,750","$1,800","$1,800","$1,800","$1,800","$1,875","$1,786","$1,750","$1,750","$1,700","$1,708","$1,925","$1,998","$1,950","$1,950","$2,000","$2,000","$2,000","$2,000","$1,900","$1,900","$1,900"
"ARLINGTON, TX",1,$750,$746,$760,$765,$770,$780,$784,$775,$792,$791,$799,$800,$815,$840,$847,$851,$865,$881,$859,$860,$910,$893,$910,$886,$895,$906,$884,$881,$855,$901,$865,$875,$869,$889,$835,$844,$857,$850,$850,$845,$855,$890,$877,$925,$945,$925,$948,$952,$950,$950,$949,$965,"$1,013","$1,034","$1,050","$1,060","$1,092","$1,130","$1,149","$1,143","$1,139","$1,125","$1,159","$1,214","$1,199","$1,210","$1,235","$1,228","$1,233","$1,204","$1,195","$1,235","$1,234","$1,200","$1,223"
