,zip_code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,year
0,78002,570,710,880,1170,1420,2018
1,78003,640,790,980,1300,1580,2018
2,78006,760,930,1170,1480,2050,2018
3,78009,560,690,870,1240,1500,2018
4,78010,610,750,940,1240,1500,2018
5,78015,1010,1250,1560,2030,2590,2018
6,78023,830,1020,1270,1680,2040,2018
7,78039,560,690,870,1150,1380,2018
8,78052,560,690,870,1150,1380,2018
9,78054,650,800,1000,1310,1600,2018
10,78055,600,740,920,1220,1480,2018
11,78063,600,740,920,1210,1470,2018
12,78064,600,690,920,1180,1380,2018
13,78069,560,690,870,1150,1380,2018
14,78070,860,1060,1320,1750,2130,2018
15,78073,560,690,870,1150,1380,2018
16,78101,730,900,1130,1490,1800,2018
17,78108,970,1200,1500,1980,2410,2018
18,78109,790,980,1220,1620,1960,2018
19,78112,640,790,990,1310,1590,2018
20,78113,560,690,870,1150,1380,2018
21,78114,560,690,870,1150,1380,2018
22,78115,670,830,1040,1370,1660,2018
23,78121,710,880,1100,1450,1760,2018
24,78123,600,740,930,1230,1490,2018
25,78124,640,800,990,1310,1590,2018
26,78130,720,870,1080,1460,1750,2018
27,78131,730,900,1130,1490,1810,2018
28,78132,680,840,1050,1380,1680,2018
29,78133,720,890,1110,1470,1780,2018
30,78140,560,690,870,1150,1380,2018
31,78143,600,740,930,1220,1480,2018
32,78147,560,690,870,1150,1380,2018
33,78148,670,830,1040,1370,1660,2018
34,78150,650,800,1000,1310,1600,2018
35,78152,560,690,870,1150,1380,2018
36,78154,780,960,1200,1590,1930,2018
37,78155,560,690,870,1150,1390,2018
38,78156,670,830,1040,1370,1660,2018
39,78160,680,830,1040,1370,1670,2018
40,78161,600,740,930,1220,1480,2018
41,78163,730,900,1130,1490,1810,2018
42,78201,580,720,900,1190,1440,2018
43,78202,560,690,870,1150,1380,2018
44,78203,560,690,870,1150,1380,2018
45,78204,560,690,870,1150,1380,2018
46,78205,560,690,870,1150,1380,2018
47,78206,650,800,1000,1310,1600,2018
48,78207,560,690,870,1150,1380,2018
49,78208,560,690,870,1150,1380,2018
50,78209,720,880,1110,1460,1770,2018
51,78210,580,720,900,1180,1430,2018
52,78211,560,690,870,1150,1380,2018
53,78212,610,750,930,1230,1500,2018
54,78213,680,840,1050,1380,1670,2018
55,78214,560,690,870,1150,1380,2018
56,78215,710,870,1090,1440,1740,2018
57,78216,660,820,1020,1350,1640,2018
58,78217,670,830,1040,1370,1660,2018
59,78218,630,770,960,1270,1550,2018
60,78219,610,750,940,1230,1500,2018
61,78220,590,730,920,1210,1470,2018
62,78221,570,710,890,1170,1420,2018
63,78222,610,750,940,1240,1510,2018
64,78223,590,730,910,1210,1460,2018
65,78224,610,750,940,1240,1500,2018
66,78225,570,700,870,1150,1400,2018
67,78226,560,690,870,1150,1380,2018
68,78227,590,730,910,1210,1460,2018
69,78228,570,700,880,1160,1410,2018
70,78229,690,850,1060,1400,1690,2018
71,78230,720,890,1110,1470,1780,2018
72,78231,650,800,1000,1320,1610,2018
73,78232,790,980,1230,1620,1960,2018
74,78233,700,860,1080,1420,1730,2018
75,78234,970,1200,1500,1980,2410,2018
76,78235,830,1020,1280,1680,2040,2018
77,78236,970,1200,1500,1980,2410,2018
78,78237,560,690,870,1150,1390,2018
79,78238,610,760,940,1250,1510,2018
80,78239,750,930,1160,1530,1860,2018
81,78240,740,920,1140,1510,1830,2018
82,78242,600,750,930,1230,1490,2018
83,78243,650,800,1000,1310,1600,2018
84,78244,810,1000,1250,1640,2000,2018
85,78245,710,880,1100,1450,1760,2018
86,78246,650,800,1000,1310,1600,2018
87,78247,810,1000,1240,1640,1990,2018
88,78248,770,950,1190,1570,1910,2018
89,78249,810,990,1240,1640,1990,2018
90,78250,670,820,1030,1360,1650,2018
91,78251,710,880,1100,1450,1760,2018
92,78252,810,1000,1250,1650,2010,2018
93,78253,960,1170,1470,1950,2370,2018
94,78254,890,1090,1370,1800,2190,2018
95,78255,970,1200,1500,1980,2410,2018
96,78256,770,950,1180,1560,1890,2018
97,78257,720,890,1110,1460,1780,2018
98,78258,900,1120,1390,1840,2230,2018
99,78259,920,1130,1420,1870,2270,2018
100,78260,970,1200,1500,1980,2410,2018
101,78261,960,1190,1490,1960,2380,2018
102,78263,650,800,1000,1310,1600,2018
103,78264,630,770,970,1270,1530,2018
104,78265,650,800,1000,1310,1600,2018
105,78266,970,1200,1500,1980,2410,2018
106,78268,650,800,1000,1310,1600,2018
107,78269,650,800,1000,1310,1600,2018
108,78270,650,800,1000,1310,1600,2018
109,78278,650,800,1000,1310,1600,2018
110,78279,650,800,1000,1310,1600,2018
111,78280,650,800,1000,1310,1600,2018
112,78283,650,800,1000,1310,1600,2018
113,78288,650,800,1000,1310,1600,2018
114,78291,650,800,1000,1310,1600,2018
115,78292,650,800,1000,1310,1600,2018
116,78293,650,800,1000,1310,1600,2018
117,78294,650,800,1000,1310,1600,2018
118,78295,650,800,1000,1310,1600,2018
119,78296,650,800,1000,1310,1600,2018
120,78297,650,800,1000,1310,1600,2018
121,78298,650,800,1000,1310,1600,2018
122,78299,650,800,1000,1310,1600,2018
123,78606,640,820,1000,1360,1750,2018
124,78623,730,900,1130,1490,1810,2018
125,78638,560,690,870,1150,1380,2018
126,78648,720,870,1080,1460,1750,2018
127,78655,720,870,1080,1460,1750,2018
128,78666,740,890,1090,1460,1760,2018
129,78670,660,810,1010,1340,1620,2018
130,78676,800,950,1160,1560,1880,2018
131,78850,560,690,870,1150,1380,2018
132,78883,610,760,950,1250,1520,2018
133,78884,560,690,870,1150,1380,2018
134,78885,610,750,940,1240,1500,2018
0,78002,590,720,900,1180,1450,2019
1,78003,670,830,1030,1350,1660,2019
2,78006,810,1000,1240,1560,2160,2019
3,78009,550,640,840,1140,1370,2019
4,78010,640,790,980,1290,1580,2019
5,78015,1050,1290,1600,2070,2660,2019
6,78023,890,1090,1360,1780,2180,2019
7,78039,510,630,790,1040,1250,2019
8,78052,510,630,790,1040,1250,2019
9,78054,680,840,1040,1370,1670,2019
10,78055,650,800,990,1300,1590,2019
11,78063,630,770,960,1260,1540,2019
12,78064,650,750,990,1260,1460,2019
13,78069,510,630,790,1040,1250,2019
14,78070,920,1130,1410,1850,2270,2019
15,78073,560,680,860,1120,1360,2019
16,78101,740,910,1130,1480,1820,2019
17,78108,1040,1270,1580,2080,2540,2019
18,78109,840,1030,1280,1680,2060,2019
19,78112,660,810,1010,1330,1620,2019
20,78113,590,710,900,1170,1420,2019
21,78114,600,740,920,1210,1480,2019
22,78115,720,880,1100,1440,1770,2019
23,78117,660,800,1000,1310,1610,2019
24,78121,750,920,1140,1500,1830,2019
25,78123,570,700,870,1140,1400,2019
26,78124,670,820,1020,1340,1640,2019
27,78130,730,900,1120,1470,1800,2019
28,78131,770,950,1180,1550,1900,2019
29,78132,710,870,1080,1420,1740,2019
30,78133,730,890,1110,1460,1790,2019
31,78140,510,630,790,1040,1250,2019
32,78143,660,800,1000,1310,1610,2019
33,78147,590,720,900,1180,1450,2019
34,78148,690,850,1060,1390,1700,2019
35,78150,680,840,1040,1370,1670,2019
36,78152,560,680,850,1120,1370,2019
37,78154,830,1010,1260,1660,2030,2019
38,78155,600,730,910,1200,1460,2019
39,78156,720,880,1100,1440,1770,2019
40,78160,710,880,1090,1430,1750,2019
41,78161,660,800,1000,1310,1610,2019
42,78163,770,950,1180,1550,1900,2019
43,78201,610,750,930,1220,1500,2019
